id;исходное наименование;код;наименование по классификатору;уверенность;требует проверки
1;Кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям;1.0;нет
2;Инженер по качеству 5 разряда;КЛС-044;Инженер по качеству;1.0;нет
3;Мастер строительных и монтажных работ 1 категории;КЛС-047;Мастер строительных и монтажных работ;1.0;нет
4;БУЛЬДОЗЕРИСТ 6 РАЗРЯДА;КЛС-029;Машинист бульдозера;0.8078;нет
5;Машинист бетоононасоса;КЛС-033;Машинист бетононасоса;0.9439;нет
6;Фрезеровщик 4 разряда;КЛС-053;Фрезеровщик;1.0;нет
7;Маш. катка;КЛС-031;Машинист катка;0.8231;нет
8;Лаборант строительной лаборатории (осн.);КЛС-054;Лаборант строительной лаборатории;0.9901;нет
9;Маляр троительный;КЛС-009;Маляр строительный;0.9336;нет
10;Землеекоп 3 разряда;КЛС-038;Землекоп;0.8891;нет
11;Бетонщик;КЛС-004;Бетонщик;1.0;нет
12;Слесарь-ремонтник;КЛС-050;Слесарь-ремонтник;1.0;нет
13;Инженер по качеству (вахта);КЛС-044;Инженер по качеству;0.9763;нет
14;Лаборант строительной лаборатории 1 категории;КЛС-054;Лаборант строительной лаборатории;1.0;нет
15;  Инженер-геоедзист ;КЛС-041;Инженер-геодезист;0.7989;нет
16;Маш. бетноонасоса;КЛС-033;Машинист бетононасоса;0.7208;нет
17;Сварщик арматурных сеток и каркасов (осн.);КЛС-021;Сварщик арматурных сеток и каркасов;0.9871;нет
18;Каенщик;КЛС-005;Каменщик;0.657;нет
19;Машинист беононасоса 2 категории;КЛС-033;Машинист бетононасоса;0.8826;нет
20;Плотник 5 разряда;КЛС-006;Плотник;1.0;нет
21;Инжеенр по качеству 1 категории;КЛС-044;Инженер по качеству;0.8951;нет
22;  МАШИНИСТ ГУСЕНИЧНОГО КРАНА ;КЛС-027;Машинист гусеничного крана;1.0;нет
23;Слесарь по сборке металлоконстр.;КЛС-051;Слесарь по сборке металлоконструкций;0.898;нет
24;Маш. крнаа автомобильного;КЛС-025;Машинист крана автомобильного;0.8438;нет
25;Механик строит. машин;КЛС-049;Механик строительных машин;0.8357;нет
26;"Нач. участка АО ""МостСтрой""";КЛС-048;Начальник участка;0.6734;нет
27;Газоорезчик;КЛС-022;Газорезчик;0.8979;нет
28;Рабочий подсобный;КЛС-039;Подсобный рабочий;1.0;нет
29;Машинист буровой установки;КЛС-032;Машинист буровой установки;1.0;нет
30;МАШ. БАШЕННОГО КРАНА 2 КАТЕГОРИИ;КЛС-026;Машинист башенного крана;0.913;нет
31;Арматурщик;КЛС-003;Арматурщик;1.0;нет
32;Электромонтажник по силовым сетям 1 категории;КЛС-019;Электромонтажник по силовым сетям;1.0;нет
33;ПЛОТНИК;КЛС-006;Плотник;1.0;нет
34;монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников;1.0;нет
35;"ПЛОТНИК ООО ""СТРОЙМОНТАЖ""";КЛС-006;Плотник;0.7821;нет
36;Токарь (совм.);КЛС-052;Токарь;0.9268;нет
37;Машинист автокрана;КЛС-025;Машинист крана автомобильного;0.6273;нет
